project_name,pull_total_mean,pull_opened_mean,pull_closed_mean,pull_merged_mean,commits_mean,stars_mean,forks_mean,languages_count,has_readme,has_contributing,has_wiki,has_project_board,has_issue_tracker,newcomers_mean,language,age,domain,owner
activate-power-mode,4,1,2,4,15,146,19,2,1,0,1,1,1,1.0,CoffeeScript,2,Software tools,User
aglio,2,1,2,2,9,70,7,4,1,0,1,1,1,0.0,CoffeeScript,4,Web libraries and frameworks,User
wintersmith,2,1,2,1,10,50,4,2,1,0,1,1,1,0.0,CoffeeScript,5,Application software,User
Keypress,2,1,1,2,6,51,5,4,1,0,1,1,1,0.0,CoffeeScript,5,Web libraries and frameworks,User
chinese-copywriting-guidelines,1,1,1,1,7,70,7,1,1,0,0,0,1,0.0,CoffeeScript,3,Documentation,User
chaplin,8,1,2,8,33,44,4,2,1,1,1,1,1,0.0,CoffeeScript,5,Web libraries and frameworks,Organization
AFNetworking,17,3,9,9,40,389,120,3,1,1,1,1,1,1.0,Objective-C,6,Software tools,Organization
SDWebImage,7,1,4,4,15,191,55,2,1,0,1,1,1,1.4,Objective-C,8,Web libraries and frameworks,User
GPUImage,6,2,2,6,20,240,57,4,1,0,1,1,1,0.0,Objective-C,5,Non-web libraries and frameworks,User
Masonry,2,1,1,2,10,302,57,3,1,0,0,1,1,0.0,Objective-C,4,Non-web libraries and frameworks,Organization
MBProgressHUD,2,1,3,1,7,135,32,2,0,0,1,1,1,1.0,Objective-C,8,Non-web libraries and frameworks,User
fmdb,3,1,1,2,6,136,30,4,0,0,1,1,1,0.0,Objective-C,7,System software,User
realm-cocoa,44,2,8,37,164,274,36,7,1,1,1,1,1,1.0,Objective-C,5,System software,Organization
MJRefresh,3,1,2,2,10,266,79,2,1,0,1,1,1,0.0,Objective-C,3,Non-web libraries and frameworks,User
JSQMessagesViewController,8,0,5,4,34,192,44,4,1,0,0,0,1,1.0,Objective-C,4,Non-web libraries and frameworks,User
Mantle,5,1,2,4,26,181,23,3,1,1,0,1,1,1.0,Objective-C,5,Non-web libraries and frameworks,Organization
YYKit,3,1,2,3,15,235,86,2,1,0,0,1,1,1.0,Objective-C,4,Non-web libraries and frameworks,User
MagicalRecord,5,2,4,3,15,120,22,4,1,1,1,1,1,0.0,Objective-C,7,Software tools,Organization
lottie-ios,18,1,5,19,25,1066,136,4,1,0,0,1,1,1.5,Objective-C,1,,Organization
RestKit,8,1,6,4,38,110,25,5,1,1,1,1,1,1.0,Objective-C,7,Web libraries and frameworks,Organization
