project_name,pull_total_mean,pull_opened_mean,pull_closed_mean,pull_merged_mean,commits_mean,stars_mean,forks_mean,languages_count,has_readme,has_contributing,has_wiki,has_project_board,has_issue_tracker,newcomers_mean,language,age,domain,owner
rails,234,12,73,154,416,324,128,6,1,1,0,1,1,5.857142857142857,Ruby,9,Web libraries and frameworks,Organization
jekyll,33,2,11,29,91,288,63,9,0,0,1,1,1,2.3,Ruby,9,Application software,Organization
public-apis,22,1,3,20,65,1458,121,3,1,0,1,1,1,5.153846153846154,Ruby,1,,User
discourse,84,2,17,66,436,399,98,5,1,1,1,0,0,1.9090909090909092,Ruby,4,Application software,Organization
gitlabhq,52,0,19,38,833,275,71,7,1,1,0,1,1,6.583333333333333,Ruby,6,Software tools,Organization
fastlane,112,5,16,94,368,536,83,8,1,1,0,0,1,4.357142857142857,Ruby,3,Software tools,Organization
vagrant,27,2,8,21,109,165,35,9,1,0,1,1,1,1.9166666666666667,Ruby,7,Software tools,User
awesome-react-native,16,2,2,15,37,479,56,4,1,1,1,1,1,3.9166666666666665,Ruby,2,Documentation,User
devdocs,3,1,3,1,46,296,19,5,1,1,1,0,1,1.6666666666666667,Ruby,4,Documentation,User
engineering-blogs,26,1,6,22,52,432,44,1,1,0,1,1,1,1.6,Ruby,2,Documentation,User
homebrew-cask,545,2,173,382,1019,190,85,2,1,1,0,1,1,15.266666666666667,Ruby,5,Software tools,Organization
mastodon,228,10,32,189,251,584,155,5,1,1,0,1,1,3.2857142857142856,Ruby,1,,Organization
metasploit-framework,98,4,19,79,286,131,78,17,1,1,1,1,1,2.5833333333333335,Ruby,6,Software tools,Organization
spree,57,2,44,18,153,75,33,6,1,0,1,1,1,1.8181818181818181,Ruby,9,Web libraries and frameworks,Organization
brew,105,4,18,91,138,464,117,5,1,1,0,1,1,1.7857142857142858,Ruby,1,Software tools,Organization
bourbon,7,1,3,5,15,106,11,4,1,1,0,0,1,3.0,Ruby,6,Software tools,Organization
symfony,177,6,75,106,355,163,60,3,1,1,0,1,1,3.357142857142857,PHP,7,Web libraries and frameworks,Organization
composer,29,1,8,21,97,130,62,2,1,0,0,1,1,2.125,PHP,6,Software tools,Organization
cphalcon,44,2,12,33,143,117,24,7,1,1,1,1,1,2.0,PHP,6,Web libraries and frameworks,Organization
framework,203,3,99,103,339,141,81,5,1,1,0,1,1,6.666666666666667,PHP,4,Web libraries and frameworks,Organization
grav,10,1,2,7,97,200,18,5,1,1,1,1,1,2.0,PHP,3,Application software,Organization
cakephp,78,2,17,62,226,81,36,5,1,0,1,1,1,1.8,PHP,7,Web libraries and frameworks,Organization
monolog,8,3,3,6,24,82,15,1,1,0,1,1,1,7.0,PHP,6,Non-web libraries and frameworks,User
phpunit,10,1,6,4,64,67,15,1,1,0,1,1,1,1.6666666666666667,PHP,8,Non-web libraries and frameworks,User
october,28,2,11,16,95,133,33,5,1,1,1,1,1,2.142857142857143,PHP,4,Application software,Organization
laravel-debugbar,4,1,1,2,14,116,13,3,0,0,0,1,1,1.75,PHP,4,Non-web libraries and frameworks,User
